feature,es-Newsela01,es-Newsela12,es-Newsela23,es-Newsela34,es-Newsela45
average_pos_in_freq_table,,,,,
check_if_head_is_noun,,,,,
check_if_head_is_verb,,,,,
check_if_one_child_of_root_is_subject,,,,,
check_passive_voice,,,,,
count_characters,0.27***,0.37***,0.39***,0.36***,0.39***
count_characters_per_sentence,0.36***,0.49***,0.55***,0.54***,0.59***
count_characters_per_word,0.11***,0.14***,0.2***,0.16***,
count_sentences,0.16***,0.24***,0.23***,0.19***,
count_syllables_in_sentence,0.27***,0.37***,0.4***,0.36***,0.39***
count_syllables_per_sentence,0.36***,0.5***,0.56***,0.54***,0.6***
count_syllables_per_word,,0.15***,0.2***,0.13***,
count_words,0.24***,0.33***,0.35***,0.33***,0.37***
count_words_per_sentence,0.34***,0.47***,0.52***,0.51***,0.59***
get_average_length_NP,,0.14***,,,
get_average_length_VP,,,,,
get_avg_length_PP,,,,,
get_lexical_complexity_score,,,0.12***,,
get_parse_tree_height,0.23***,0.31***,0.36***,0.36***,0.41***
get_ratio_clauses,,,,0.13***,
get_ratio_mwes,,,,0.1***,
get_ratio_named_entities,,,,,
get_ratio_of_adjectives,,0.11***,0.15***,,
get_ratio_of_adpositions,0.15***,0.14***,0.18***,0.19***,0.39***
get_ratio_of_adverbs,,,0.11***,,
get_ratio_of_auxiliary_verbs,,0.11***,0.11***,,
get_ratio_of_conjunctions,,,,0.12***,
get_ratio_of_coordinating_clauses,,,,,0.31***
get_ratio_of_determiners,,,,,
get_ratio_of_function_words,,,,,
get_ratio_of_interjections,,,,,
get_ratio_of_nouns,,,,,
get_ratio_of_numerals,,,,,
get_ratio_of_particles,,,,,
get_ratio_of_pronouns,,,,,
get_ratio_of_punctuation,0.13***,,0.11***,0.22***,0.24**
get_ratio_of_subordinate_clauses,,,,,
get_ratio_of_symbols,,,,,
get_ratio_of_verbs,0.1***,0.16***,0.17***,0.16***,0.36***
get_ratio_prepositional_phrases,0.12***,0.1***,0.15***,0.14***,0.33***
get_ratio_referential,,,,,
get_ratio_relative_phrases,,,0.11***,0.1***,
get_type_token_ratio,0.13***,0.17***,0.13***,,
is_non_projective,,,,,
max_pos_in_freq_table,0.1***,0.11***,0.17***,0.12***,
sentence_fkgl,0.25***,0.34***,0.37***,0.25***,
sentence_fre,0.18***,0.25***,0.27***,0.13***,
